"line_item_usage_type","line_item_product_code","line_item_line_item_type","pricing_unit","line_item_operation","product_region"
"USW2-USW1-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-NLB-PublicIP-In","us-west-2"
"USW1-Fargate-GB-Hours","AmazonECS","Usage","hours","FargateTask","us-west-1"
"APS1-APN1-AWS-Out-Bytes","AmazonS3","Usage","GB","WebsiteGetObject","ap-southeast-1"
"APS1-ESInstance:c5.large","AmazonES","Usage","Hrs","ESDomain","ap-southeast-1"
"USE1-EUC1-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadBucketLifecycle","us-east-1"
"CAN1-DataTransfer-In-Bytes","AmazonS3","Usage","GB","WriteBucketPublicAccessBlock","ca-central-1"
"DataTransfer-Regional-Bytes","AmazonBedrockAgentCore","Usage","GB","Runtime","us-east-1"
"EUC1-APS1-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadAccelerate","eu-central-1"
"APS2-USW1-AWS-In-Bytes","AmazonEC2","Usage","GB","RunInstances","ap-southeast-2"
"APS1-LOS1-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-NLB-PublicIP-In","ap-southeast-1"
"BoxUsage:c5.metal","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","us-east-1"
"USW2-APS1-AWS-Out-Bytes","AmazonVPC","Usage","GB","ClientVPNConnections","us-west-2"
"USE1-HAM1-AWS-In-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","us-east-1"
"USE2-DataTransfer-Out-Bytes","AWSCodeArtifact","Usage","GB","DeleteRepository","us-east-2"
"APN1-BoxUsage:t3.large","AmazonEC2","SavingsPlanCoveredUsage","Hrs","RunInstances","ap-northeast-1"
"USW1-APN1-AWS-Out-Bytes","AmazonS3","Usage","GB","PutObject","us-west-1"
"APS1-Requests-Tier2","AmazonS3","Usage","Requests","GetBucketAntuConfiguration","ap-southeast-1"
"APS1-DataTransfer-Out-Bytes","AmazonS3","Usage","GB","CopyPart","ap-southeast-1"
"EUW2-RulesTriggered","AWSIoT","Usage","RulesTriggered","Rules","eu-west-2"
"USE1-Group1-ImagesProcessed","AmazonRekognition","Usage","Images Processed","ImagesProcessed","us-east-1"
"eu-west-2-KMS-Requests","awskms","Usage","Requests","UpdateKeyDescription","eu-west-2"
"CAN1-EUW2-AWS-In-Bytes","AmazonEC2","Usage","GB","PublicIP-In","ca-central-1"
"NA-SA-IN-Bytes-AWS","AWSGlobalAccelerator","Usage","GigaBytes","Dominant","us-east-1"
"APE1-CCU1-AWS-Out-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-Out","ap-east-1"
"APS1-PHX1-AWS-Out-Bytes","AWSELB","Usage","GB","LoadBalancing-NLB-PublicIP-Out","ap-southeast-1"
"USE1-Grafana:FreeTrialUser","AmazonGrafana","Usage","Users","g-4067d70146","us-east-1"
"BoxUsage:i2.8xlarge","AmazonEC2","Usage","Hrs","RunInstances:0002","us-east-1"
"APS1-BoxUsage:c5.18xlarge","AmazonEC2","Usage","Hrs","RunInstances:0002","ap-southeast-1"
"APN2-BoxUsage:r4.8xlarge","AmazonEC2","Usage","Hrs","RunInstances:0002","ap-northeast-2"
"EUN1-DataTransfer-Out-Bytes","AmazonS3","Usage","GB","ReadBucketMetrics","eu-north-1"
"USW2-DataTransfer-Out-Bytes","AmazonS3","Usage","GB","DeleteObject","us-west-2"
